Name,Franchise,Medium,Role,Powers,Strengths,Weaknesses,Signature Abilities,Power Tier,Confidence,Cross-Medium Note
Goku,Dragon Ball,anime,Fighter,"Ki manipulation, flight, Super Saiyan forms, Ultra Instinct","Limitless growth, instant technique mastery, near-infinite stamina","Naive, lets foes power up, reckless","Kamehameha, Spirit Bomb, Instant Transmission, Ultra Instinct",Universal,High,
Vegeta,Dragon Ball,anime,Fighter,"Ki blasts, flight, Super Saiyan Blue, Ultra Ego","Tactical genius, pride-fueled power spikes, fast adaptation","Pride, overconfidence, slower growth than Goku","Final Flash, Galick Gun, Big Bang Attack",Universal,High,
Frieza,Dragon Ball,anime,Tyrant,"Ki control, multiple transformations, Golden form","Effortless planet-busting power, telekinesis, ruthless","Arrogance, stamina drain in higher forms","Death Beam, Death Ball, Golden Frieza",Planet,High,
Gohan,Dragon Ball,anime,Fighter,"Ki, Super Saiyan, Ultimate/Beast form","Highest latent potential, scholarly mind","Lapses in training, pacifist hesitation","Father-Son Kamehameha, Special Beam, Beast form",Planet,High,
Piccolo,Dragon Ball,anime,Namekian,"Ki, regeneration, size change, fusion","Strategist, regrows limbs, telepathy","Dies if head destroyed, outpaced by Saiyans","Special Beam Cannon, Hellzone Grenade",Planet,High,
Naruto Uzumaki,Naruto,anime,Ninja,"Chakra, Nine-Tails, Sage Mode, Six Paths, shadow clones","Massive chakra, healing, sensing, unbreakable will","Reckless early, clone-reliant, chakra burn","Rasengan, Rasenshuriken, Kurama Mode",Continent,High,
Sasuke Uchiha,Naruto,anime,Ninja,"Sharingan, Rinnegan, lightning, Amaterasu, Susanoo","Genius, dojutsu mastery, space-time ninjutsu","Arrogance, eye chakra drain, volatility","Chidori, Amaterasu, Susanoo, Indra's Arrow",Continent,High,
Itachi Uchiha,Naruto,anime,Ninja,"Mangekyo Sharingan, Tsukuyomi, Amaterasu, Susanoo","Genjutsu master, Totsuka/Yata, intellect","Illness, failing eyesight, chakra drain","Tsukuyomi, Susanoo, Izanami",Continent,High,
Kakashi Hatake,Naruto,anime,Ninja,"Sharingan (former), lightning, Kamui, copy ninjutsu","Copies 1000+ jutsu, Kamui phase, genius","Chakra drain, fully human reserves","Chidori, Lightning Blade, Kamui",Island,High,
Madara Uchiha,Naruto,anime,Ninja,"Rinnegan, Six Paths, Susanoo, wood, Limbo","Near-invincible, meteor summons","Reliant on eyes/Ten-Tails, ego","Perfect Susanoo, Limbo, meteor drop",Continent,High,
Pain,Naruto,anime,Ninja,"Six Paths, Rinnegan, gravity control","Push/pull gravity, soul rip, summons, revival","Frail real body (Nagato), shared-vision lag","Shinra Tensei, Chibaku Tensei",Continent,High,
Minato Namikaze,Naruto,anime,Ninja,"Flying Raijin teleport, Rasengan, sensing","Fastest shinobi, instant strikes","Chakra cost, mortal","Flying Raijin, Rasengan",Island,High,
Hashirama Senju,Naruto,anime,Ninja,"Wood Release, Sage Mode, vast vitality","Massive wood golems, healing","Mortal lifespan, finite chakra","Wood Dragon, True Thousand Hands",Continent,High,
Might Guy,Naruto,anime,Ninja,"Eight Gates, taijutsu mastery",Night Guy rivals gods at full power,"Gates can kill user, permanent injury","Eight Gates, Night Guy",Continent,High,
Gaara,Naruto,anime,Ninja,"Sand manipulation, automatic defense","Absolute sand shield, ranged crush/bind","Slow vs speedsters, chakra drain","Sand Coffin, Sand Tsunami",City,High,
Monkey D. Luffy,One Piece,anime,Pirate,"Rubber body, Gear forms, Conqueror's Haki, Gear 5","Adaptive combat, Haki mastery, huge endurance","Can't swim, stamina crashes, simple","Gum-Gum Pistol, Gear 4/5, Conqueror's Haki",Island,High,
Roronoa Zoro,One Piece,anime,Pirate,"Three-sword style, Armament/Observation Haki, Asura","Cuts steel/buildings, inhuman durability","No sense of direction, reckless","Three Thousand Worlds, Asura, King of Hell",City,High,
Sanji,One Piece,anime,Pirate,"Black-leg style, Diable Jambe, Raid Suit","Powerful kicks, speed, fire","Won't hit women, hunger weakens him","Diable Jambe, Sky Walk, Ifrit Jambe",City,High,
Shanks,One Piece,anime,Pirate,"All three Haki, swordsmanship","Top-tier Conqueror's Haki, feared Emperor","One arm, no Devil Fruit","Haki-imbued slashes, Conqueror's clash",Island,High,
Kaido,One Piece,anime,Pirate,"Dragon Fruit, all Haki, extreme durability","'Strongest creature', flame/wind clouds","Suicidal boredom, drunk fighting","Boro Breath, Thunder Bagua",Island,High,
Whitebeard,One Piece,anime,Pirate,"Tremor Fruit (quakes), Conqueror's Haki",World-ending quake shockwaves,"Aging, illness, old wounds","Quake punches, air-cracking tremors",Island,High,
Trafalgar Law,One Piece,anime,Pirate,Op-Op Fruit (ROOM spatial surgery),"Teleport/dismember in ROOM, immortality op","Stamina cost, ranged limits","ROOM, Shambles, Gamma Knife",City,High,
Portgas D. Ace,One Piece,anime,Pirate,Flame logia fire,"Logia intangibility, large-scale fire","Beaten by magma, reckless","Fire Fist, Flame Commandment",City,High,
Doflamingo,One Piece,anime,Pirate,"String-String Fruit, Haki","Body control via strings, flight","Strings can be cut, ego","Parasite, Birdcage, Overheat",City,High,
Boa Hancock,One Piece,anime,Pirate,"Love-Love petrification, Haki","Turns lustful to stone, Conqueror's Haki","Relies on desire, prideful","Mero Mero Mellow, Slave Arrow",City,High,
Ichigo Kurosaki,Bleach,anime,Soul Reaper,"Zanpakuto, Bankai, Hollow mask, Quincy powers","Hybrid power, immense reiatsu","Inconsistent control, emotional triggers","Getsuga Tensho, Bankai, Final Getsuga",Island,High,
Aizen,Bleach,anime,Soul Reaper,"Kyoka Suigetsu total hypnosis, Hogyoku","Complete illusion control, near-immortal forms","Hypnosis needs first sight, hubris","Kyoka Suigetsu, Hogyoku evolution",Island,High,
Kenpachi Zaraki,Bleach,anime,Soul Reaper,"Immense raw reiatsu, Nozarashi Bankai",Pure combat monster,"Poor reiatsu control, no finesse","Nozarashi, unrestrained slashing",City,High,
Byakuya Kuchiki,Bleach,anime,Soul Reaper,"Senbonzakura blade petals, Bankai","Thousands of blades, speed","Pride, weak inside blade range",Senbonzakura Kageyoshi,City,High,
Ulquiorra,Bleach,anime,Hollow,"Espada Resurreccion, Cero Oscuras","Regeneration, flight, immense power","Can't regen organs, rigid","Cero Oscuras, Lanza del Relampago",City,High,
Grimmjow,Bleach,anime,Hollow,"Resurreccion (Pantera), Cero","Speed, claws, aggression",Reckless pride,"Cero, Desgarron",Building,High,
Yhwach,Bleach,anime,Quincy,"The Almighty (future sight/alteration), power theft","Near-omnipotence, future control","Blind interval in Almighty, arrogance","The Almighty, Auswahlen",Continent,High,
Toshiro Hitsugaya,Bleach,anime,Soul Reaper,"Hyorinmaru ice dragon, Bankai","Strongest ice user, prodigy","Limited Bankai time, young",Daiguren Hyorinmaru,City,High,
